dataset,category,n,avg_width_raw,spearman_w_err,spearman_p,base_exact,accept_at_2_5,exact_at_2_5,pm1_at_2_5,mae_at_2_5
AesBench,Aesthetics/AI,5547,2.848566069159397,0.20044202148621185,2.2443772156677492e-51,0.38705606634216694,0.26627005588606456,0.47257955314827355,0.9350033852403521,0.6073121191604604
diffusiondb,Aesthetics/AI,4298,3.039528044754541,-0.08663558164204734,1.2793527115455261e-08,0.26221498371335505,0.13610981852024198,0.18461538461538463,0.67008547008547,1.2803418803418802
mm-vet,General VQA,3873,2.9053833964503215,0.2506407758635798,1.47915946330565e-56,0.36819003356571134,0.26258714175058095,0.5742379547689282,0.8682399213372665,0.6627335299901671
VisitBench,General VQA,5801,2.956160915039712,0.10755710932613441,2.1379104576827672e-16,0.36062747802103085,0.19651784175142217,0.41578947368421054,0.8359649122807018,0.8228070175438597
coco,General VQA,5907,2.9567431143663327,0.08693424232851168,2.1899219415160484e-11,0.329947519891654,0.18791264601320468,0.36126126126126124,0.8207207207207208,0.8828828828828829
llava_bench,General VQA,5525,3.0068707764310534,0.020623730130003026,0.12532881335098553,0.3167420814479638,0.12,0.31070889894419307,0.7496229260935143,0.995475113122172
Concept Caption,Knowledge/Web,5983,3.002479197726727,0.06706733792895396,2.0758748525647467e-07,0.3342804613070366,0.13755640982784556,0.4106925880923451,0.8784933171324423,0.7302551640340219
WIT,Knowledge/Web,5697,3.0279421313135,-0.10020811144069292,3.4294564196179026e-14,0.346322625943479,0.10830261541162015,0.26580226904376014,0.8038897893030794,0.9692058346839546
mind2web,Knowledge/Web,5949,3.0700036122390535,0.1935096923324097,2.759028118345971e-51,0.27029752899646997,0.15363926710371492,0.35667396061269147,0.7636761487964989,0.9814004376367614
ScienceQA,Vision-Heavy,5832,2.8925007508124834,0.18364232236964387,2.1005111174012914e-45,0.34910836762688613,0.2813786008230453,0.5118829981718465,0.7800121876904327,0.8695917123705058
textVQA,Vision-Heavy,5887,2.9491662301777457,0.10560422829904074,4.522707249008545e-16,0.3514523526414133,0.23288602004416512,0.412837345003647,0.8417213712618526,0.8191101385849745
ChartQA,Vision-Heavy,6097,3.067851450729902,0.13448857346627052,5.238722758015955e-26,0.31441692635722485,0.18828932261768083,0.43031358885017423,0.759581881533101,0.9433797909407665
infographicsVQA,Vision-Heavy,6085,3.0765807182747706,0.10823255983905458,2.5401270447017874e-17,0.28874281018898934,0.18619556285949054,0.3901147396293027,0.7343336275375111,1.0441306266548984
mathvista,Vision-Heavy,11413,3.092860978146664,0.07617225169189316,3.6829679478909634e-16,0.3336546043984929,0.1806711644615789,0.40591658583899126,0.6988360814742968,1.1304558680892338
