judge,dataset,category,n_items,rho_pt,rho_lo,rho_hi,rho_halfwidth,width_seed_mean,width_seed_lo,width_seed_hi,rsg_pt,rsg_lo,rsg_hi
LLaVA-Critic,AesBench,Aesthetics/AI,392,0.4023442499232549,0.27280996670476654,0.5131861025143389,0.1201880679047862,2.030724218913487,1.858060060201251,2.199260710459583,-0.08997469534837332,-0.2626750182449207,0.06300128012923467
LLaVA-Critic,ChartQA,Vision-Heavy,400,0.5065214947745532,0.4312076307049914,0.5737704715442223,0.07128142041961547,3.002854565858841,2.8466952780485153,3.139621639454365,0.2572351362392634,0.14288145021712023,0.3586758814078136
LLaVA-Critic,Concept Caption,Knowledge/Web,398,0.36214278469614974,0.25779325493119104,0.46886951364616497,0.10553812935748696,2.669792297617275,2.502440686699134,2.8457532452353878,0.029590859100468492,-0.11659657339402546,0.1803078249550119
LLaVA-Critic,ScienceQA,Vision-Heavy,396,0.25777543461833535,0.14879023730735988,0.3616297227370536,0.10641974271484687,3.1590061688061915,2.945135143418806,3.369885995302236,0.047526976819883215,-0.11492597683793868,0.20410122156261268
LLaVA-Critic,VisitBench,General VQA,397,0.3515907446676899,0.24899198054703028,0.44472037832958994,0.09786419889127983,2.9374363808775668,2.795466856373914,3.065715637271428,0.0859498398870816,-0.05214130535949127,0.21114928764744695
LLaVA-Critic,WIT,Knowledge/Web,399,0.16358387367078034,0.07088161760746955,0.25935499854951444,0.09423669047102244,2.62484696495533,2.2075839955180885,2.9193037899568677,-0.18020438509038714,-0.3772223835130083,-0.010819053961268643
LLaVA-Critic,coco,General VQA,397,0.3615484780727233,0.2552978707406015,0.4565102591632099,0.1006061942113042,2.560871393237282,2.4463433083382684,2.707176558483186,0.0017663263820437702,-0.1331163021748314,0.1333043987840064
LLaVA-Critic,diffusiondb,Aesthetics/AI,299,0.0888923731929092,-0.02645616689555328,0.20026541538247278,0.11336079113901303,3.373673643906911,3.2159811335186164,3.546931552237272,-0.06768921583036304,-0.16954854972479264,0.08699830344179083
LLaVA-Critic,infographicsVQA,Vision-Heavy,398,0.4107714375356846,0.3309331210823566,0.4885001233244481,0.07878350112104573,3.404941528466479,3.22892625871765,3.5407027437653973,0.2620068196523044,0.1381646857617691,0.3736758092657974
LLaVA-Critic,llava_bench,General VQA,396,0.24430289080355252,0.15027683828414568,0.34101010185250286,0.09536663178417859,2.978889281942387,2.710375225575584,3.2554994915696702,-0.010974788710850752,-0.17212935532195833,0.1548849747449204
LLaVA-Critic,mathvista,Vision-Heavy,789,0.376354529468091,0.3116658868115713,0.43701867652371473,0.06267639485607171,3.3204968977578084,3.208272674903085,3.4110640092816538,0.2064787539075431,0.11373405553734256,0.2897846788441282
LLaVA-Critic,mind2web,Knowledge/Web,398,0.2677810699055057,0.1509146750867823,0.37162031653213967,0.11035282072267869,2.6484867432009636,2.4441023119340595,2.849498355944253,-0.0700972442942534,-0.23805974692970283,0.08399490551820288
LLaVA-Critic,mm-vet,General VQA,258,0.26013249711641767,0.0937708272678331,0.40871171290091507,0.157470442816541,3.0741098135940788,2.7400524011462237,3.400546093490697,0.02865995051493736,-0.22121607244561098,0.25884823627358927
LLaVA-Critic,textVQA,Vision-Heavy,399,0.38929103483596705,0.29420433343107044,0.4810599727464919,0.09342781965771074,2.8782239065170288,2.6935657839238645,3.0298162920117377,0.10884701146522424,-0.03240422058796344,0.23851404574942636
Phi-4,AesBench,Aesthetics/AI,392,0.35328148992266106,0.2429652833464808,0.4565029091834704,0.10676881291849481,1.853373846411705,1.641764573535445,2.0094983865624783,-0.18337504847441266,-0.3465935732696579,-0.04112249417591002
Phi-4,ChartQA,Vision-Heavy,396,0.2610823228261663,0.16925127801816003,0.3512523126319948,0.09100051730691738,3.593780722498894,3.4317842086091637,3.72307121733278,0.15952750345088973,0.02719733017045095,0.28202011696518975
Phi-4,Concept Caption,Knowledge/Web,395,0.27310319805215605,0.18542471724869863,0.35712554936666724,0.0858504160589843,2.6639549178094724,2.519373177221073,2.8093155746633682,-0.06090807249547586,-0.18473198844603317,0.059454443032509297
Phi-4,ScienceQA,Vision-Heavy,388,0.3034785290615367,0.19713682279338632,0.3993252688007483,0.101094223003681,3.364428117479941,3.1983328064884806,3.545681940854499,0.144585558431522,-0.0032799755844935274,0.285745754014373
Phi-4,VisitBench,General VQA,395,0.3387401086894408,0.23220161798251232,0.43790910337911554,0.10285374269830161,2.8653856796235897,2.6728428328216975,3.0611223560601624,0.05508652859533825,-0.0995876738120633,0.20318969239415613
Phi-4,WIT,Knowledge/Web,399,0.39977518079382623,0.3105009330140641,0.48465753739286205,0.08707830218939897,2.6008298580050466,2.335900607299805,2.796074916417897,0.04998264529508789,-0.10552391516098458,0.18367626649733632
Phi-4,coco,General VQA,393,0.2741689015650296,0.16312950089179099,0.37844115699554853,0.10765582805187877,2.690027335181308,2.4728258048948932,2.904612873421242,-0.05332426463964335,-0.2186640478844857,0.10459437535085908
