judge,selector,coverage,risk
Gemini,cp_width,0.05,0.713273053283965
Gemini,cp_width,0.1,0.7616364841420836
Gemini,cp_width,0.15,0.7907760156922821
Gemini,cp_width,0.2,0.8409429950551116
Gemini,cp_width,0.25,0.863745353537655
Gemini,cp_width,0.3,0.8916903292990974
Gemini,cp_width,0.35,0.9152373557635609
Gemini,cp_width,0.39999999999999997,0.9274878870589423
Gemini,cp_width,0.44999999999999996,0.9424296892358138
Gemini,cp_width,0.49999999999999994,0.9535438546336783
Gemini,cp_width,0.5499999999999999,0.9633304293838953
Gemini,cp_width,0.6,0.9751839390928825
Gemini,cp_width,0.65,0.9940315214261346
Gemini,cp_width,0.7,1.0078236230253097
Gemini,cp_width,0.75,1.0243687774937487
Gemini,cp_width,0.7999999999999999,1.0455077864280262
Gemini,cp_width,0.85,1.0667076920443814
Gemini,cp_width,0.9,1.088847325657007
Gemini,cp_width,0.95,1.1029232975641814
Gemini,cp_width,1.0,1.1253837334023746
Gemini,judge_margin,0.05,1.3470713138861217
Gemini,judge_margin,0.1,1.1640224268538437
Gemini,judge_margin,0.15,1.0834802731668594
Gemini,judge_margin,0.2,1.036889233893453
Gemini,judge_margin,0.25,1.0097171757141041
Gemini,judge_margin,0.3,1.0024857661918105
Gemini,judge_margin,0.35,1.0021896857285213
Gemini,judge_margin,0.39999999999999997,1.0106204774244834
Gemini,judge_margin,0.44999999999999996,1.0110974672833026
Gemini,judge_margin,0.49999999999999994,1.0254848123661335
Gemini,judge_margin,0.5499999999999999,1.0423296662518329
Gemini,judge_margin,0.6,1.045969290119462
Gemini,judge_margin,0.65,1.0547981519598695
Gemini,judge_margin,0.7,1.0542225814898998
Gemini,judge_margin,0.75,1.0701754156200418
Gemini,judge_margin,0.7999999999999999,1.0829178729835993
Gemini,judge_margin,0.85,1.0930401595025483
Gemini,judge_margin,0.9,1.101084332115342
Gemini,judge_margin,0.95,1.1098347564891213
Gemini,judge_margin,1.0,1.1253837334023746
Gemini,judge_entropy,0.05,1.202187794517686
Gemini,judge_entropy,0.1,1.145493536666656
Gemini,judge_entropy,0.15,1.1419207073351327
Gemini,judge_entropy,0.2,1.162317550799831
Gemini,judge_entropy,0.25,1.1902032228653243
Gemini,judge_entropy,0.3,1.168353875141022
