judge,dataset,category,n_items,rho_pt,rho_lo,rho_hi,width_pt,width_lo,width_hi,rsg_pt,rsg_lo,rsg_hi
LLaVA-Critic,AesBench,Aesthetics/AI,392,0.4023442499232549,0.27280996670476654,0.5131861025143389,2.7768659782564855,2.7366950035784305,2.818174454585119,0.09656074448737628,-0.03108996953797357,0.20607092158534412
LLaVA-Critic,ChartQA,Vision-Heavy,400,0.5065214947745532,0.4312076307049914,0.5737704715442223,3.0319824282975185,2.9917742245519063,3.071321997277078,0.26451710184893285,0.18748170301971126,0.3321345764902359
LLaVA-Critic,Concept Caption,Knowledge/Web,398,0.36214278469614974,0.25779325493119104,0.46886951364616497,2.9654258998539818,2.93146394179889,3.0002355743689306,0.10349925965964518,-0.0019667708125668884,0.20830038537732978
LLaVA-Critic,ScienceQA,Vision-Heavy,396,0.25777543461833535,0.14879023730735988,0.3616297227370536,2.9712267491146407,2.9281474140174963,3.0133234506658932,0.0005821218969955244,-0.1087751478213059,0.10597561060104084
LLaVA-Critic,VisitBench,General VQA,397,0.3515907446676899,0.24899198054703028,0.44472037832958994,3.0051363146879186,2.962558071377649,3.046316714458086,0.10287482333966957,0.0029843418645828152,0.1922336176425866
LLaVA-Critic,WIT,Knowledge/Web,399,0.16358387367078034,0.07088161760746955,0.25935499854951444,3.0088101663701683,2.974738201062953,3.041243780803232,-0.08421358473667759,-0.17702913706607318,0.011600176785303907
LLaVA-Critic,coco,General VQA,396,0.3638314997344231,0.26201295484279796,0.4632383179352614,3.062549995626559,3.0273742860076864,3.09929777977771,0.12946899864106287,0.028949404376938822,0.2279027580454695
LLaVA-Critic,diffusiondb,Aesthetics/AI,298,0.08980893059324323,-0.024455769473351232,0.2055917786059775,3.096959714589598,3.0563017805572983,3.1387611464117544,-0.13595114075935721,-0.2201702586490233,-0.01957809488557667
LLaVA-Critic,infographicsVQA,Vision-Heavy,397,0.4142722927188157,0.32992483394249256,0.4932727593946029,3.144225833048005,3.0942585064399513,3.191558609213975,0.20032875098081693,0.11679056608716801,0.2776741291941891
LLaVA-Critic,llava_bench,General VQA,393,0.2450337810467851,0.1512808402649904,0.3381265683889833,3.0305553793358277,3.000225248403158,3.0620188707944602,0.0026726258807420467,-0.08967702807038386,0.09594591876930741
LLaVA-Critic,mathvista,Vision-Heavy,789,0.376354529468091,0.3116658868115713,0.43701867652371473,3.0569717034308117,3.0266562238081356,3.0892362037191945,0.14059745532579393,0.07691373344207399,0.20062450647551666
LLaVA-Critic,mind2web,Knowledge/Web,398,0.2677810699055057,0.1509146750867823,0.37162031653213967,3.0390246040439823,2.993071147779399,3.082919157849505,0.027537220916501293,-0.08842964087559366,0.1298567543697258
LLaVA-Critic,mm-vet,General VQA,257,0.2644016906034472,0.10560552502967571,0.4119567181427738,2.9906525399090222,2.939737838839851,3.0437841594173602,0.012064825580702765,-0.14831942134469173,0.15802265444981597
LLaVA-Critic,textVQA,Vision-Heavy,398,0.39617553448749404,0.29999303451866854,0.482674928087727,2.9600976119350855,2.914882566717288,3.006292208068657,0.1361999374712654,0.04190512967349116,0.22194090225738414
Phi-4,AesBench,Aesthetics/AI,392,0.35328148992266106,0.2429652833464808,0.4565029091834704,2.917775104748182,2.879115834050906,2.958372634136425,0.08272526610970654,-0.026465071870137143,0.18698870749856175
