ID,Category,Better,img_ok,score1,o1_lp1,o1_lp2,o1_lp3,o1_lp4,o1_lp5,score2,o2_lp1,o2_lp2,o2_lp3,o2_lp4,o2_lp5
nocaps_12485,open_generation/correctness_task,Output1,1,5,-13.0002,-15.03926,-13.69551,-8.57833,-0.0002,4,-15.23214,-15.79322,-11.89833,-0.52333,-0.89833
visitbench_104,open_generation/correctness_task,Output1,1,4,-15.37066,-13.26129,-5.84722,-0.00347,-7.56597,5,-11.12126,-11.51189,-8.13689,-2.05876,-0.13689
nocaps_4760,open_generation/correctness_task,Output1,1,4,-17.72028,-16.38505,-9.72028,-0.00153,-6.78278,4,-17.31248,-16.36788,-12.07101,-0.01135,-4.49572
nocaps_12576,open_generation/correctness_task,Output2,1,4,-16.65142,-14.69829,-6.48807,-0.00369,-8.70682,5,-14.8136,-16.46985,-14.42298,-6.8136,-0.0011
nocaps_12913,open_generation/correctness_task,Output1,1,5,-13.65026,-14.97838,-13.12682,-6.31432,-0.00182,4,-16.8468,-15.95191,-9.82265,-0.01015,-4.63515
visitbench_552,open_generation/correctness_task,Output2,1,4,-7.70715,-5.6134,-1.1759,-0.6134,-1.9259,4,-14.36858,-12.06389,-4.7592,-0.0092,-7.6342
visitbench_265,open_generation/correctness_task,Output2,1,5,-13.49597,-13.97253,-11.05066,-1.39441,-0.28503,5,-14.46529,-15.53774,-13.28632,-6.11302,-0.00222
visitbench_100,open_generation/correctness_task,Output2,1,4,-14.74802,-13.31834,-7.34177,-0.01365,-4.3574,4,-17.27273,-16.94602,-13.03978,-0.07102,-2.6804
nocaps_14413,open_generation/correctness_task,Output2,1,5,-15.20623,-16.83123,-14.15154,-3.98748,-0.01873,5,-11.39381,-14.19708,-11.136,-4.29225,-0.01384
nocaps_10220,open_generation/correctness_task,Output2,1,4,-17.26091,-16.27369,-10.33193,-0.01943,-3.95693,5,-13.67853,-14.59259,-12.59259,-2.28009,-0.10822
visitbench_18,open_generation/correctness_task,Output2,1,5,-15.86338,-16.18298,-14.08781,-3.18298,-0.04236,5,-15.46543,-16.20406,-14.29355,-6.97821,-0.00094
nocaps_8593,open_generation/correctness_task,Output2,1,5,-14.7584,-16.53964,-14.6959,-7.45371,-0.00058,4,-15.46752,-15.85814,-11.6124,-0.1749,-1.83115
nocaps_12953,open_generation/correctness_task,Output2,1,5,-11.20887,-14.86654,-12.46881,-10.32819,-6e-05,5,-17.09382,-18.41484,-14.79765,-3.24297,-0.03984
visitbench_505,open_generation/correctness_task,Output2,1,5,-14.8189,-15.42259,-12.81606,-4.12288,-0.01634,5,-9.30131,-9.34392,-6.82262,-2.33398,-0.10387
nocaps_7833,open_generation/correctness_task,Output2,1,5,-14.73807,-15.68338,-13.35526,-3.62088,-0.02713,5,-16.61208,-17.76265,-15.95157,-4.4956,-0.01123
nocaps_12098,open_generation/correctness_task,Output1,1,5,-14.12656,-15.36874,-13.37656,-6.47031,-0.00156,4,-17.64245,-16.50608,-10.22341,-0.00466,-5.41091
visitbench_249,open_generation/correctness_task,Output1,1,5,-12.08619,-13.35039,-12.1359,-5.27511,-0.00522,5,-12.46863,-13.43454,-11.88624,-4.49987,-0.01124
nocaps_9138,open_generation/correctness_task,Output2,1,4,-14.43063,-13.665,-9.79782,-0.03219,-3.46969,4,-15.17592,-14.86342,-11.36342,-0.0353,-3.36342
visitbench_565,open_generation/correctness_task,Output1,1,5,-13.58429,-14.15247,-11.64537,-1.60276,-0.22492,4,-17.6351,-16.31408,-9.0797,-0.00158,-6.6422
nocaps_14122,open_generation/correctness_task,Output1,1,4,-17.95421,-16.50534,-9.59483,-0.00108,-7.15733,4,-15.79873,-15.21279,-10.83779,-0.00966,-4.66592
nocaps_7485,open_generation/correctness_task,Output2,1,5,-13.89078,-14.62515,-11.7814,-1.23453,-0.3439,4,-17.77217,-15.23666,-8.00655,-0.00087,-8.03212
nocaps_5238,open_generation/correctness_task,Output2,1,4,-14.87851,-12.80465,-4.97936,-0.01061,-7.01061,5,-15.01379,-15.43851,-13.57132,-6.90726,-0.00101
visitbench_42,open_generation/correctness_task,Output1,1,4,-14.52559,-13.98582,-10.54832,-0.10798,-2.28127,5,-15.77279,-17.02989,-15.16199,-5.84665,-0.0029
nocaps_10842,open_generation/correctness_task,Output1,1,4,-17.6617,-17.3705,-11.76965,-0.03527,-3.3634,4,-15.96261,-13.82483,-7.65295,-0.00238,-7.68988
nocaps_11713,open_generation/correctness_task,Output1,1,5,-14.19854,-14.91587,-12.28093,-2.30791,-0.10479,4,-16.2644,-15.08471,-9.61596,-0.00659,-5.05346
nocaps_13312,open_generation/correctness_task,Output1,1,5,-14.62751,-15.44001,-12.79158,-2.1822,-0.1197,4,-16.08452,-15.43609,-10.67046,-0.01421,-4.26421
nocaps_10317,open_generation/correctness_task,Output2,1,5,-13.73271,-14.2874,-11.71708,-0.88896,-0.52958,4,-14.76113,-14.54238,-11.07363,-0.10488,-2.308
nocaps_6872,open_generation/correctness_task,Output2,1,4,-16.05886,-15.39125,-11.00205,-0.01483,-4.23358,4,-16.36819,-14.50029,-8.07273,-0.00313,-8.73751
visitbench_455,open_generation/correctness_task,Output2,1,3,-8.85842,-1.15956,-0.40672,-3.89677,-9.74834,4,-16.82725,-15.47072,-9.11418,-0.00623,-5.09998
visitbench_394,open_generation/correctness_task,Output2,1,2,-8.14137,-0.03058,-3.52063,-8.47376,-11.8097,5,-12.73296,-13.77699,-9.51421,-3.52983,-0.02983
nocaps_11890,open_generation/correctness_task,Output2,1,4,-14.84036,-14.68411,-10.53567,-0.06692,-2.7388,5,-13.12592,-14.29779,-13.25376,-7.04637,-0.00092
nocaps_11802,open_generation/correctness_task,Output1,1,4,-14.88357,-12.29124,-3.25147,-0.04834,-8.73584,4,-14.33461,-13.58461,-8.74086,-0.03774,-3.30336
visitbench_102,open_generation/correctness_task,Output2,1,3,-13.43582,-7.13895,-0.18582,-1.77957,-10.44364,4,-16.1113,-13.55661,-6.37693,-0.00193,-8.7363
nocaps_12419,open_generation/correctness_task,Output2,1,4,-16.26033,-14.99471,-10.26815,-0.00252,-6.0494,5,-15.2121,-15.99335,-13.69222,-5.09847,-0.00614
nocaps_13920,open_generation/correctness_task,Output1,1,4,-16.22515,-15.20952,-9.80327,-0.00639,-5.06889,4,-16.96519,-16.09872,-11.3473,-0.00781,-4.88281
nocaps_9917,open_generation/correctness_task,Output1,1,4,-16.08554,-15.75173,-11.82418,-0.03014,-3.54577,5,-13.53284,-14.79846,-14.39647,-6.45471,-0.00159
nocaps_4856,open_generation/correctness_task,Output1,1,5,-15.09376,-17.34376,-15.85157,-12.15626,-1e-05,5,-15.77625,-16.94102,-13.39414,-2.23789,-0.11289
nocaps_14611,open_generation/correctness_task,Output2,1,5,-12.8713,-13.85568,-11.33224,-5.5027,-0.00411,5,-13.59382,-16.00007,-14.57819,-9.73444,-7e-05
nocaps_12563,open_generation/correctness_task,Output1,1,4,-14.70191,-14.67066,-11.17847,-0.10034,-2.35034,5,-13.62529,-14.68779,-12.47686,-4.82061,-0.00811
nocaps_9055,open_generation/correctness_task,Output1,1,5,-13.64901,-15.36776,-13.85994,-7.48494,-0.00057,4,-17.10136,-15.25477,-7.9238,-0.00193,-6.76755
visitbench_526,open_generation/correctness_task,Output1,1,4,-14.33591,-11.00778,-3.27341,-0.03903,-7.88278,2,-5.42089,-0.12259,-2.21066,-6.6581,-11.49404
nocaps_11920,open_generation/correctness_task,Output2,1,4,-16.70426,-14.9777,-8.79801,-0.00114,-7.34489,4,-18.18206,-17.16643,-10.80138,-0.0045,-5.42638
nocaps_5260,open_generation/correctness_task,Output2,1,4,-15.64414,-15.25351,-11.61289,-0.01914,-3.97226,4,-17.36798,-15.93332,-9.61088,-0.00151,-6.81401
nocaps_13100,open_generation/correctness_task,Output1,1,4,-17.25432,-16.34523,-10.20034,-0.01284,-4.37221,4,-17.23345,-16.63686,-11.75049,-0.06299,-2.79737
nocaps_7125,open_generation/correctness_task,Output1,1,4,-16.88706,-15.80041,-9.69104,-0.00354,-5.84729,5,-16.87306,-18.79778,-15.63371,-7.01653,-0.0009
nocaps_5991,open_generation/correctness_task,Output1,1,4,-16.02154,-15.14086,-8.62807,-0.00307,-6.2687,4,-15.97227,-14.96446,-9.9879,-0.01915,-3.97227
nocaps_13785,open_generation/correctness_task,Output1,1,4,-14.31386,-14.0248,-9.98573,-0.01698,-4.12636,4,-16.15379,-15.35833,-11.21771,-0.0089,-4.7589
nocaps_4841,open_generation/correctness_task,Output1,1,4,-16.87709,-15.21303,-9.58022,-0.00209,-6.33022,4,-16.51716,-13.72029,-6.73591,-0.00154,-8.82966
nocaps_7147,open_generation/correctness_task,Output1,1,4,-15.29385,-15.12339,-10.49413,-0.13476,-2.07226,4,-14.91688,-13.26205,-7.75779,-0.00637,-7.03762
nocaps_11110,open_generation/correctness_task,Output1,1,4,-17.44337,-16.01582,-10.92349,-0.00161,-6.62661,4,-15.64372,-12.71758,-5.29571,-0.00735,-9.13235
nocaps_8241,open_generation/correctness_task,Output1,1,4,-16.39151,-16.00798,-10.70117,-0.01367,-4.31054,5,-12.04709,-14.53928,-13.32053,-8.56272,-0.00022
