dataset,n_samples,coverage_raw,coverage_adj,width_raw,width_adj
AesBench,176,0.9716,0.9943,2.7954,3.4773
ChartQA,198,0.8838,0.9848,3.1302,3.7273
Concept Caption,201,0.9602,1.0,2.9938,3.6766
ScienceQA,198,0.8434,0.9848,3.0124,3.6768
VisitBench,198,0.8889,0.9899,3.0178,3.6667
WIT,199,0.9397,0.995,3.0614,3.7085
coco,205,0.9561,0.9951,3.0869,3.7463
diffusiondb,156,0.8654,0.9808,3.0878,3.7885
infographicsVQA,186,0.8656,0.9731,3.1683,3.7527
llava_bench,194,0.9433,1.0,3.0478,3.8041
mathvista,403,0.8213,0.9603,3.0693,3.6551
mind2web,213,0.9577,0.9906,3.0067,3.6526
mm-vet,136,0.9338,0.9926,2.9923,3.6985
textVQA,196,0.9286,0.9796,2.9731,3.5714
