dataset,n,exact_accuracy,within_1_accuracy,within_2_accuracy,mae,judge_bias
AesBench,392,0.4133,0.8827,0.977,0.7321,0.4872
ChartQA,400,0.3025,0.7325,0.895,1.085,0.305
Concept Caption,398,0.3543,0.8166,0.9648,0.8719,0.5955
ScienceQA,396,0.2652,0.697,0.8838,1.1995,0.2955
VisitBench,397,0.3174,0.7506,0.9244,1.0176,0.4433
WIT,399,0.3383,0.787,0.9649,0.9123,0.5063
coco,397,0.3451,0.8489,0.9622,0.8539,0.0428
diffusiondb,299,0.2375,0.5719,0.8428,1.3846,1.2308
infographicsVQA,398,0.2513,0.6935,0.8844,1.191,0.1759
llava_bench,396,0.3182,0.8106,0.952,0.9217,0.548
mathvista,789,0.3232,0.6515,0.8428,1.2345,0.3321
mind2web,398,0.2965,0.7437,0.9548,1.0075,0.1935
mm-vet,258,0.3721,0.8023,0.938,0.9264,-0.0116
textVQA,399,0.3634,0.792,0.9148,0.9424,0.2957
OVERALL,5716,0.3216,0.7505,0.9171,1.031,0.3798
