sample_id,s2_lp1,s2_lp2,s2_lp3,s2_lp4,s2_lp5,gt_score,parsed_score
0,-8.247859954833984,-1.5134848356246948,-0.29473480582237244,-3.3572347164154053,-10.825984954833984,3.0,3
1,-0.0034857960417866707,-5.675360679626465,-10.362860679626465,-13.753485679626465,-11.800360679626465,2.0,1
2,-13.693159103393555,-11.960204124450684,-7.826682090759277,-1.065317988395691,-0.423272043466568,4.0,5
3,-4.673841953277588,-0.8457169532775879,-0.6269669532775879,-3.611341953277588,-8.97071647644043,2.0,3
4,-12.11279296875,-3.6823949813842773,-0.04603281244635582,-3.923872947692871,-10.742053985595703,3.0,3
5,-14.665915489196777,-8.111227989196777,-0.6112281084060669,-0.7831031084060669,-10.704977989196777,4.0,3
6,-13.86622428894043,-13.45216178894043,-9.44434928894043,-0.3349739909172058,-1.2568490505218506,5.0,4
7,-8.796472549438477,-0.8902226686477661,-0.5308476686477661,-6.749597549438477,-12.452722549438477,3.0,3
8,-7.787873268127441,-0.6003752946853638,-0.7992373704910278,-6.665715217590332,-11.630203247070312,2.0,2
9,-0.12789829075336456,-2.1278982162475586,-6.956023216247559,-11.581023216247559,-13.151335716247559,1.0,1
10,-13.63432502746582,-5.58745002746582,-0.056200120598077774,-2.9780750274658203,-11.91557502746582,5.0,3
11,-0.7420569062232971,-0.6568308472633362,-5.28751277923584,-8.423874855041504,-11.681687355041504,1.0,2
12,-11.684443473815918,-1.9656933546066284,-0.1531933844089508,-6.231318473815918,-13.465693473815918,4.0,3
13,-13.38325309753418,-2.8285653591156006,-0.06294026225805283,-6.2660651206970215,-13.98481559753418,4.0,3
14,-16.06012535095215,-12.849187850952148,-5.22418737411499,-0.00543758412823081,-10.380437850952148,4.0,4
15,-12.195673942565918,-5.1786298751831055,-0.16442374885082245,-1.9257876873016357,-9.92294692993164,5.0,3
16,-14.592910766601562,-12.233535766601562,-5.0225982666015625,-0.006973097566515207,-8.803848266601562,3.0,4
17,-13.31612491607666,-9.76143741607666,-1.870812177658081,-0.16768719255924225,-9.13643741607666,4.0,4
18,-13.452689170837402,-10.733939170837402,-3.3042514324188232,-0.038626402616500854,-8.444876670837402,3.0,4
19,-13.075370788574219,-12.880058288574219,-10.481620788574219,-8.737658936297521e-05,-10.044120788574219,3.0,4
20,-15.300874710083008,-14.668062210083008,-11.511812210083008,-0.07431256771087646,-2.636812686920166,4.0,4
21,-14.146979331970215,-13.656922340393066,-10.141297340393066,-0.027661779895424843,-3.607207775115967,4.0,4
22,-14.712440490722656,-15.915565490722656,-13.876502990722656,-4.6811909675598145,-0.009315832518041134,5.0,5
23,-13.601139068603516,-6.292901515960693,-0.057105325162410736,-2.9264233112335205,-10.582674026489258,3.0,3
24,-13.446208000183105,-14.490242004394531,-12.87092399597168,-4.753026962280273,-0.00870918482542038,3.0,5
25,-13.620908737182617,-14.437670707702637,-12.853863716125488,-3.620908737182617,-0.02715863287448883,4.0,5
26,-13.60511302947998,-14.727272033691406,-12.930397033691406,-4.485794544219971,-0.011362721212208271,5.0,5
27,-14.083630561828613,-10.738459587097168,-2.6844825744628906,-0.07084652781486511,-9.587891578674316,4.0,4
28,-12.508237838745117,-13.469175338745117,-10.195737838745117,-2.4926130771636963,-0.08636297285556793,3.0,5
29,-12.345353126525879,-10.915665626525879,-5.306291103363037,-0.08754092454910278,-2.540665864944458,5.0,4
30,-12.1797456741333,-12.8750581741333,-8.4766206741333,-0.28912079334259033,-1.3828707933425903,4.0,4
31,-14.061576843261719,-7.3499298095703125,-0.10561158508062363,-2.3073155879974365,-10.815837860107422,4.0,3
32,-12.764432907104492,-13.403637886047363,-10.875228881835938,-1.1877295970916748,-0.3638656735420227,4.0,5
33,-13.520014762878418,-7.605952262878418,-0.8090770244598389,-0.5903270244598389,-9.809077262878418,5.0,4
34,-10.579524040222168,-2.035491466522217,-0.14628735184669495,-5.217309474945068,-11.552536010742188,4.0,3
35,-0.2630644738674164,-1.4661895036697388,-7.606814384460449,-12.82556438446045,-16.075565338134766,4.0,1
36,-14.95991325378418,-13.624686241149902,-8.908778190612793,-0.00252832961268723,-6.0820722579956055,4.0,4
37,-14.985551834106445,-15.938676834106445,-13.915239334106445,-4.094926357269287,-0.016801515594124794,5.0,5
38,-13.685503959655762,-14.013628959655762,-10.685503959655762,-0.32612910866737366,-1.2792540788650513,3.0,4
39,-17.852296829223633,-15.321046829223633,-7.297609329223633,-0.000734178873244673,-9.875734329223633,4.0,4
40,-16.38064193725586,-9.624959945678711,-0.5624597668647766,-0.8437097668647766,-11.296834945678711,3.0,3
41,-15.423053741455078,-15.846348762512207,-14.026036262512207,-5.955723762512207,-0.002598720835521817,4.0,5
42,-15.776604652404785,-8.82205867767334,-0.35330909490585327,-1.212684154510498,-9.79080867767334,4.0,3
43,-9.4273042678833,-2.9841244220733643,-0.0523044690489769,-8.140372276306152,-13.0757417678833,3.0,3
44,-16.17798614501953,-8.514632225036621,-0.04588252305984497,-3.1098034381866455,-10.483382225036621,3.0,3
45,-15.126246452331543,-16.042438507080078,-12.038177490234375,-4.97709846496582,-0.006927638314664364,4.0,5
46,-13.712461471557617,-5.290586471557617,-0.009336382150650024,-5.462461471557617,-11.993711471557617,3.0,3
47,-12.062119483947754,-3.9016077518463135,-0.052177637815475464,-3.489677667617798,-9.446352005004883,2.0,3
48,-13.904975891113281,-5.346736907958984,-0.020033054053783417,-4.196168899536133,-12.32827091217041,2.0,3
49,-12.852215766906738,-13.654772758483887,-11.254204750061035,-1.6945452690124512,-0.2030673623085022,3.0,5
50,-16.034873962402344,-13.058311462402344,-4.480186939239502,-0.011436853557825089,-10.370811462402344,3.0,4
51,-12.253868103027344,-2.715517520904541,-0.07347144186496735,-5.371765613555908,-12.246766090393066,2.0,3
