dataset,n,naive_cov_raw,naive_width_raw,naive_cov_adj,naive_width_adj
AesBench,392,0.9193877551020408,2.5311910737289254,0.9857142857142858,3.0556122448979592
ChartQA,400,0.9025000000000001,3.4897150378573705,0.9855,3.8180000000000005
Concept Caption,398,0.9060301507537689,3.1126541001047885,0.9909547738693467,3.6165829145728643
ScienceQA,396,0.9126262626262627,3.705235709038592,0.9919191919191919,3.93080808080808
VisitBench,397,0.8904522613065329,3.3732258728917914,0.9839195979899499,3.7623115577889443
WIT,399,0.913,2.9158492186960796,0.9864999999999998,3.457
coco,397,0.9045226130653266,2.8589454272865473,0.9814070351758793,3.357286432160804
diffusiondb,299,0.9053333333333333,3.560597141522112,0.9946666666666667,3.8900000000000006
infographicsVQA,398,0.9050251256281407,3.6735079939763198,0.9894472361809046,3.903517587939698
llava_bench,396,0.8974747474747474,3.2747552613768796,0.9878787878787879,3.728787878787879
mathvista,790,0.9149367088607594,3.637722662029995,0.9916455696202531,3.9083544303797475
mind2web,398,0.9085427135678392,3.1307758546729767,0.9934673366834172,3.5869346733668337
mm-vet,258,0.9224806201550388,3.3873844703987217,0.9806201550387597,3.7496124031007754
textVQA,399,0.8755,3.193890474128259,0.9695,3.6220000000000008
