dataset,n,cov_raw,width_raw,cov_adj,width_adj,pearson,category
AesBench,392,0.9051,2.0824,0.9842,2.6571,0.4023,Aesthetics/AI
ChartQA,400,0.8795,3.0794,0.9705,3.5705,0.5065,Vision-Heavy
Concept Caption,398,0.8920,2.7031,0.9864,3.3839,0.3621,Knowledge/Web
ScienceQA,396,0.9045,3.2693,0.9692,3.6384,0.2578,Vision-Heavy
VisitBench,397,0.8734,2.9592,0.9814,3.4844,0.3516,General VQA
WIT,399,0.8635,2.3768,0.9820,3.1525,0.1636,Knowledge/Web
coco,397,0.8764,2.4273,0.9789,3.0663,0.3615,General VQA
diffusiondb,299,0.8820,3.4143,0.9900,3.8873,0.0889,Aesthetics/AI
infographicsVQA,398,0.9025,3.5043,0.9849,3.8367,0.4108,Vision-Heavy
llava_bench,396,0.8641,2.9201,0.9788,3.6081,0.2443,General VQA
mathvista,790,0.8792,3.3687,0.9805,3.7091,0.3764,Vision-Heavy
mind2web,398,0.8894,2.6903,0.9819,3.3085,0.2678,Knowledge/Web
mm-vet,258,0.8450,2.1798,0.9310,2.7628,0.2601,General VQA
textVQA,399,0.8620,2.8123,0.9570,3.2845,0.3893,Vision-Heavy
