dataset,n,exact_accuracy,within_1_accuracy,within_2_accuracy,mae,judge_bias
AesBench,338,0.3639,0.7604,0.9172,0.997,-0.1686
ChartQA,399,0.3358,0.6566,0.8246,1.2306,-0.5739
Concept Caption,380,0.3237,0.7974,0.9763,0.9079,0.0289
ScienceQA,379,0.4644,0.723,0.8839,0.9868,0.1266
VisitBench,381,0.3465,0.7402,0.9186,1.0079,0.0315
WIT,360,0.2417,0.7833,0.9556,1.0222,0.3944
coco,387,0.261,0.7209,0.9302,1.1059,0.3101
diffusiondb,259,0.2008,0.5985,0.8687,1.3475,0.7143
infographicsVQA,397,0.3552,0.6902,0.8564,1.1335,-0.403
llava_bench,362,0.2652,0.7072,0.9337,1.0994,0.1713
mathvista,744,0.3522,0.6734,0.828,1.1976,-0.1358
mind2web,380,0.1895,0.5132,0.7895,1.5605,-0.65
mm-vet,247,0.4008,0.6842,0.83,1.1498,-0.1619
textVQA,396,0.3535,0.7854,0.9192,0.9571,0.0227
