sample_id,s2_lp1,s2_lp2,s2_lp3,s2_lp4,s2_lp5,gt_score,parsed_score
0,-19.175402,-11.512925464970229,-11.512925464970229,-13.697827,-1.4304238e-06,3.0,5
1,-11.512925464970229,-18.619934,-8.611065,-0.00018318502,-18.463215,2.0,4
2,-0.023864232,-3.7474456,-18.050022,-17.628672,-17.086243,4.0,1
3,-10.495502,-3.3975615e-05,-12.080029,-18.580334,-17.964485,2.0,2
4,-11.512925464970229,-11.512925464970229,-18.9768,-0.00012444664,-8.99773,3.0,4
5,-11.512925464970229,-11.512925464970229,-11.512925464970229,-9.289757,-9.345168e-05,4.0,5
6,-11.512925464970229,-11.512925464970229,-11.512925464970229,-7.9405246,-0.0003582567,5.0,5
7,-15.142083,-14.603561,-5.8408214e-06,-14.14201,-17.86385,3.0,3
8,-0.00018366176,-8.605552,-19.05513,-19.371853,-19.144579,2.0,1
9,-11.512925464970229,-11.512925464970229,-11.512925464970229,-8.332424,-0.00024243875,1.0,5
10,-19.157873,-11.512925464970229,-11.512925464970229,-9.830642,-5.459614e-05,5.0,5
11,-19.228682,-11.512925464970229,-11.512925464970229,-11.780554,-8.225878e-06,1.0,5
12,-11.512925464970229,-11.512925464970229,-11.512925464970229,-4.763916,-0.008571624,4.0,5
13,-11.512925464970229,-11.512925464970229,-11.512925464970229,-5.543447,-0.0039231437,4.0,5
14,-19.417477,-11.512925464970229,-11.512925464970229,-12.745848,-3.2185512e-06,4.0,5
15,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,5.0,-1
16,-11.512925464970229,-11.512925464970229,-13.471798,-1.9075815e-06,-18.951908,3.0,4
17,-11.512925464970229,-11.512925464970229,-11.512925464970229,-9.803435,-5.6385157e-05,4.0,5
18,-11.512925464970229,-19.200693,-9.697949,-6.199544e-05,-17.280367,3.0,4
19,-11.512925464970229,-11.512925464970229,-10.75254,-2.2171263e-05,-19.184452,3.0,4
20,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,4.0,-1
21,-19.315739,-11.512925464970229,-11.512925464970229,-9.81616,-5.5550263e-05,4.0,5
22,-11.512925464970229,-11.512925464970229,-11.512925464970229,-12.582745,-4.4107555e-06,5.0,5
23,-11.512925464970229,-11.512925464970229,-14.966313,-1.0729074e-06,-16.411753,3.0,4
24,-19.997976,-11.512925464970229,-11.512925464970229,-15.815755,-2.3844768e-07,3.0,5
25,-19.440348,-7.3341804,-0.0006538571,-15.481917,-19.639595,4.0,3
26,-19.650436,-11.512925464970229,-11.512925464970229,-16.34713,-2.3844768e-07,5.0,5
27,-19.18165,-11.512925464970229,-11.512925464970229,-11.49805,-1.060888e-05,4.0,5
28,-19.300497,-11.512925464970229,-11.512925464970229,-14.072978,-1.1920517e-06,3.0,5
29,-8.83214,-0.00014719875,-14.676827,-18.654024,-16.31574,5.0,2
30,-19.467188,-11.512925464970229,-11.512925464970229,-12.674975,-3.5763796e-06,4.0,5
31,-18.839558,-11.512925464970229,-11.512925464970229,-9.4452305,-7.986527e-05,4.0,5
32,-19.109144,-11.512925464970229,-11.512925464970229,-11.855804,-7.868537e-06,4.0,5
33,-19.350613,-11.512925464970229,-11.512925464970229,-15.497125,-5.9602587e-07,5.0,5
34,-1.9044975,-0.16124,-16.236652,-16.939327,-15.287641,4.0,2
35,-0.0005975161,-7.42438,-19.438673,-18.925314,-18.34649,4.0,1
36,-11.512925464970229,-11.512925464970229,-17.135899,-8.344534e-07,-16.073376,4.0,4
37,-11.512925464970229,-11.512925464970229,-11.512925464970229,-14.128763,-1.5496514e-06,5.0,5
38,-11.512925464970229,-11.512925464970229,-11.512925464970229,-0.0012938445,-6.6515527,3.0,4
39,-19.110767,-11.512925464970229,-11.512925464970229,-11.350062,-1.251619e-05,4.0,5
40,-11.512925464970229,-17.722912,-2.4273717,-0.09241088,-11.512925464970229,3.0,4
41,-11.512925464970229,-11.512925464970229,-11.512925464970229,-12.786889,-3.4570896e-06,4.0,5
42,-18.015726,-3.8196385,-0.02218558,-14.483946,-16.30479,4.0,3
43,-15.524238,-0.0011688254,-6.7535186,-15.949708,-17.21946,3.0,2
44,-0.21074724,-1.6606584,-16.820377,-16.329592,-15.634384,3.0,1
45,-18.859846,-11.512925464970229,-11.512925464970229,-16.123436,-4.7689537e-07,4.0,5
46,-11.512925464970229,-11.512925464970229,-15.807468,-0.007038477,-4.9601846,3.0,4
47,-11.512925464970229,-11.512925464970229,-11.512925464970229,-3.7134483,-0.02470089,2.0,5
48,-11.512925464970229,-11.512925464970229,-11.512925464970229,-8.286679,-0.00025270466,2.0,5
49,-11.512925464970229,-11.512925464970229,-11.512925464970229,-7.9208965,-0.00036421473,3.0,5
50,-11.512925464970229,-11.512925464970229,-11.512925464970229,-5.3888264,-0.0045794975,3.0,5
51,-19.148973,-11.512925464970229,-11.512925464970229,-13.354296,-1.9075815e-06,2.0,5
52,-11.512925464970229,-11.512925464970229,-11.512925464970229,-3.3519216,-0.03564685,3.0,5
53,-19.099012,-11.512925464970229,-11.512925464970229,-13.889979,-1.3112239e-06,3.0,5
54,-18.984198,-11.512925464970229,-11.512925464970229,-14.425029,-9.537907e-07,3.0,5
55,-19.454264,-11.512925464970229,-11.512925464970229,-14.562364,-1.0729074e-06,3.0,5
56,-11.512925464970229,-11.512925464970229,-11.512925464970229,-0.7501598,-0.6392265,4.0,5
57,-19.211731,-11.512925464970229,-11.512925464970229,-12.8674135,-3.2185512e-06,4.0,5
58,-11.512925464970229,-11.512925464970229,-11.512925464970229,-0.61898404,-0.77328473,5.0,4
59,-17.24596,-0.0013886084,-6.5833664,-17.3591,-13.454749,4.0,2
60,-19.167452,-11.512925464970229,-11.512925464970229,-13.290741,-2.0266912e-06,3.0,5
61,-18.792961,-11.512925464970229,-11.512925464970229,-15.896011,-3.5760596e-07,4.0,5
62,-19.950327,-11.505176,-1.0728064e-05,-16.38656,-11.512925464970229,4.0,3
63,-3.512097,-0.030289266,-16.734062,-18.335548,-16.737526,4.0,2
64,-11.512925464970229,-8.409534,-0.00022359732,-16.735437,-18.725508,4.0,3
65,-18.996876,-11.512925464970229,-11.512925464970229,-16.012331,-3.5760596e-07,5.0,5
66,-11.512925464970229,-16.04895,-3.2888317,-0.03801727,-16.183548,2.0,4
67,-11.512925464970229,-11.512925464970229,-11.512925464970229,-3.177208,-0.042602543,4.0,5
68,-11.512925464970229,-11.512925464970229,-12.394259,-4.649037e-06,-17.552528,3.0,4
69,-11.512925464970229,-11.512925464970229,-11.512925464970229,-3.802634e-05,-10.195669,4.0,4
70,-11.512925464970229,-1.0773299,-0.41631722,-14.6912985,-15.92514,4.0,3
71,-11.512925464970229,-11.512925464970229,-11.512925464970229,-10.860494,-1.9906858e-05,5.0,5
