dataset,n,pearson,cov_raw,width_raw,cov_adj,width_adj
AesBench,392,0.2562,0.8786,2.1431,0.9796,2.7408
ChartQA,400,0.4938,0.864,2.8285,0.9595,3.3305
Concept Caption,398,0.4275,0.8975,2.7963,0.9894,3.4613
ScienceQA,396,0.5296,0.8773,2.772,0.9551,3.2152
VisitBench,397,0.5243,0.8864,2.8446,0.9779,3.3955
WIT,399,0.294,0.867,2.3898,0.9845,3.098
coco,397,0.3421,0.8618,2.3999,0.9724,3.0648
diffusiondb,299,0.3196,0.8793,3.3759,0.9833,3.8253
infographicsVQA,398,0.547,0.8779,2.9344,0.9704,3.4834
llava_bench,396,0.3124,0.8692,2.9132,0.9763,3.5399
mathvista,790,0.4143,0.8643,3.3887,0.9747,3.7428
mind2web,398,0.0649,0.8849,2.9204,0.9824,3.4462
mm-vet,258,0.2334,0.8481,2.2903,0.9364,2.7806
textVQA,399,0.6003,0.835,2.3291,0.9725,2.9045
