dataset,n,exact_accuracy,within_1_accuracy,within_2_accuracy,mae,judge_bias
AesBench,392,0.3673,0.9056,0.977,0.7551,-0.2908
ChartQA,396,0.303,0.6086,0.8157,1.3081,0.7323
Concept Caption,395,0.3165,0.8228,0.957,0.9038,-0.3772
ScienceQA,388,0.3376,0.7268,0.8789,1.0928,0.1392
VisitBench,395,0.3899,0.8101,0.9443,0.8709,0.081
WIT,399,0.4511,0.8947,0.995,0.6591,-0.3133
coco,393,0.402,0.8473,0.9644,0.7939,-0.056
diffusiondb,298,0.3322,0.7617,0.9564,0.9497,0.6007
infographicsVQA,390,0.2692,0.6179,0.8179,1.3359,0.459
llava_bench,390,0.3615,0.8256,0.9538,0.8641,0.0744
mathvista,781,0.3047,0.6364,0.8259,1.283,0.356
mind2web,398,0.304,0.7688,0.9497,0.9849,-0.3869
mm-vet,249,0.3213,0.8112,0.9357,0.9478,-0.2008
textVQA,389,0.3522,0.7558,0.9049,1.018,0.1234
