sample_id,s2_lp1,s2_lp2,s2_lp3,s2_lp4,s2_lp5,gt_score,parsed_score
0,-15.627516746520996,-14.025954246520996,-6.143141269683838,-0.0025164387188851833,-7.924391269683838,3.0,4
1,-16.019065856933594,-10.776877403259277,-0.33937764167785645,-1.2456276416778564,-13.386252403259277,2.0,3
2,-15.354564666748047,-15.776439666748047,-11.307689666748047,-0.7998768091201782,-0.5967518091201782,4.0,5
3,-0.034760456532239914,-3.3785104751586914,-9.753510475158691,-12.753510475158691,-13.737885475158691,2.0,1
4,-15.679719924926758,-15.507844924926758,-9.054719924926758,-0.007844948209822178,-4.867219924926758,3.0,4
5,-16.349563598632812,-9.974563598632812,-0.13862651586532593,-2.0448765754699707,-13.763626098632812,4.0,3
6,-15.943437576293945,-16.818437576293945,-12.029375076293945,-0.005938031245023012,-5.1309380531311035,5.0,4
7,-8.07945442199707,-0.0013298486592248082,-6.8919548988342285,-13.18101692199707,-16.54820442199707,3.0,2
8,-5.3969855308532715,-0.0063604069873690605,-6.3188605308532715,-12.365735054016113,-15.639172554016113,2.0,2
9,-15.87192440032959,-11.55161190032959,-0.8797370791435242,-0.5359870791435242,-12.92661190032959,1.0,4
10,-17.297386169433594,-17.328636169433594,-11.172386169433594,-0.00051115796668455,-7.609886169433594,5.0,4
11,-18.375085830688477,-17.242273330688477,-9.65633487701416,-8.511180931236595e-05,-10.85945987701416,1.0,4
12,-15.46466064453125,-5.691222667694092,-0.0037227629218250513,-7.988097667694092,-15.73028564453125,4.0,3
13,-12.01151180267334,-0.027137169614434242,-3.620887279510498,-12.21463680267334,-16.222450256347656,4.0,2
14,-16.574678421020508,-10.691865921020508,-0.004366150591522455,-5.441865921020508,-14.613740921020508,4.0,3
15,-15.019920349121094,-10.121482849121094,-1.4417955875396729,-0.2699205279350281,-11.637107849121094,5.0,4
16,-10.357929229736328,-0.24855418503284454,-1.5141792297363281,-9.936054229736328,-15.264179229736328,3.0,2
17,-16.00455093383789,-16.39517593383789,-11.29361343383789,-0.027988724410533905,-3.5904886722564697,4.0,4
18,-13.566670417785645,-14.433857917785645,-10.879170417785645,-2.0041699409484863,-0.1447950005531311,3.0,5
19,-15.181709289550781,-14.908271789550781,-9.650459289550781,-0.377021849155426,-1.1582717895507812,3.0,4
20,-17.28645133972168,-12.56770133972168,-1.6380137205123901,-0.21613875031471252,-13.47395133972168,4.0,4
21,-17.92583465576172,-16.34770965576172,-5.535210609436035,-0.0039603859186172485,-12.207085609436035,4.0,4
22,-15.390483856201172,-16.445171356201172,-11.992046356201172,-0.9451713562011719,-0.4920463562011719,5.0,5
23,-17.058025360107422,-14.479899406433105,-5.7064619064331055,-0.0033369355369359255,-12.964274406433105,3.0,4
24,-17.24305534362793,-15.48524284362793,-7.6102423667907715,-0.00086758635006845,-7.9071173667907715,3.0,4
25,-16.382905960083008,-17.132905960083008,-11.375093460083008,-0.12509319186210632,-2.1407182216644287,4.0,4
26,-14.65670394897461,-15.39107894897461,-11.20357894897461,-1.6254534721374512,-0.21920351684093475,5.0,5
27,-0.000500196241773665,-7.609875202178955,-12.844249725341797,-15.289562225341797,-15.258312225341797,4.0,1
28,-16.552120208740234,-13.37243366241455,-1.5755583047866821,-0.23180827498435974,-12.32555866241455,3.0,4
29,-16.12468910217285,-16.68718910217285,-11.405939102172852,-0.007501883432269096,-4.89812707901001,5.0,4
30,-15.847033500671387,-15.393908500671387,-9.175158500671387,-0.0032838250044733286,-5.753283977508545,4.0,4
31,-17.165502548217773,-17.165502548217773,-10.50144100189209,-0.001440797932446003,-6.56394100189209,4.0,4
32,-13.675117492675781,-2.3079299926757812,-0.10480508208274841,-10.401679992675781,-15.503242492675781,4.0,3
33,-16.203821182250977,-17.078821182250977,-11.985071182250977,-0.07100876420736313,-2.6803836822509766,5.0,4
34,-17.349464416503906,-11.911965370178223,-0.013527864590287209,-4.310402870178223,-14.615090370178223,4.0,3
35,-16.70747947692871,-17.23091697692871,-11.504354476928711,-0.09029203653335571,-2.449666976928711,4.0,4
36,-16.74308967590332,-9.12590217590332,-0.000902007392141968,-7.14152717590332,-15.50871467590332,4.0,3
37,-16.98888397216797,-18.19982147216797,-13.012321472167969,-0.012321896851062775,-4.402946949005127,5.0,4
38,-17.008676528930664,-16.875864028930664,-9.743050575256348,-0.008675740100443363,-4.758675575256348,3.0,4
39,-16.305496215820312,-7.2351837158203125,-0.0008085080771706998,-9.360183715820312,-15.828933715820312,4.0,3
40,-15.023327827453613,-16.24989128112793,-11.796765327453613,-0.5623906850814819,-0.8436406850814819,3.0,4
41,-15.529208183288574,-16.84170913696289,-12.662020683288574,-2.0448334217071533,-0.13858333230018616,4.0,5
42,-17.633119583129883,-17.297182083129883,-10.250306129455566,-0.00030632095877081156,-8.219056129455566,4.0,4
43,-14.047674179077148,-3.2429866790771484,-0.03986167907714844,-10.500799179077148,-15.938299179077148,3.0,3
44,-16.334375381469727,-12.279688835144043,-2.6078133583068848,-0.07656341791152954,-12.982813835144043,3.0,4
45,-15.162677764892578,-16.131427764892578,-11.545490264892578,-0.7329906225204468,-0.6548656225204468,4.0,5
46,-16.840641021728516,-7.379704475402832,-0.004704359918832779,-5.504704475402832,-15.160954475402832,3.0,3
47,-16.453611373901367,-15.531736373901367,-7.953610897064209,-0.00048601735034026206,-8.937986373901367,2.0,4
48,-16.11037254333496,-8.157247543334961,-0.0009978797752410173,-7.250998020172119,-15.235372543334961,2.0,3
49,-17.0147647857666,-15.952265739440918,-7.991328239440918,-0.006953090894967318,-5.022578239440918,3.0,4
50,-17.492605209350586,-14.38322925567627,-4.805104732513428,-0.008229630999267101,-12.10979175567627,3.0,4
51,-9.89699649810791,-0.006371896713972092,-5.068871974945068,-11.45949649810791,-15.49855899810791,2.0,2
52,-15.401755332946777,-7.143942356109619,-0.01894252933561802,-4.018942356109619,-14.104880332946777,3.0,3
53,-15.821981430053711,-15.361043930053711,-7.876669406890869,-0.0016692051431164145,-6.657919406890869,3.0,4
54,-10.173548698425293,-8.986048698425293,-5.111049175262451,-1.720423936843872,-0.20479899644851685,3.0,5
55,-15.813962936401367,-6.813962936401367,-0.0014627005439251661,-7.923337936401367,-15.274900436401367,3.0,3
56,-12.279146194458008,-0.09164637327194214,-2.435396432876587,-13.068208694458008,-16.482271194458008,4.0,2
57,-13.86530876159668,-14.72468376159668,-11.32624626159668,-4.29499626159668,-0.013746238313615322,4.0,5
58,-13.229999542236328,-0.5424991846084595,-0.8706241846084595,-11.261249542236328,-16.604999542236328,5.0,2
59,-17.697568893432617,-14.752256393432617,-4.033505916595459,-0.01788102649152279,-12.252256393432617,4.0,4
60,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,3.0,-1
61,-16.108139038085938,-17.139389038085938,-12.115950584411621,-0.022200746461749077,-3.8190758228302,4.0,4
62,-15.416006088256836,-16.361318588256836,-11.634756088256836,-0.25194358825683594,-1.501943588256836,4.0,4
63,-12.110357284545898,-1.3134818077087402,-0.3134818375110626,-8.454107284545898,-15.641607284545898,4.0,3
64,-16.440488815307617,-8.0811128616333,-0.0029879233334213495,-5.924862861633301,-15.1123628616333,4.0,3
65,-14.957240104675293,-13.675990104675293,-5.832240104675293,-0.01974019780755043,-4.097865104675293,5.0,4
66,-14.663443565368652,-15.210318565368652,-10.210318565368652,-0.6400061845779419,-0.7493811845779419,2.0,4
67,-17.642789840698242,-15.642789840698242,-6.1427903175354,-0.0021652367431670427,-11.392789840698242,4.0,4
68,-17.175010681152344,-14.93282413482666,-5.76876163482666,-0.0031364792957901955,-12.34688663482666,3.0,4
69,-13.445242881774902,-4.390554904937744,-0.015555125661194324,-5.796804904937744,-14.867117881774902,4.0,3
70,-15.868819236755371,-16.517255783081055,-11.407881736755371,-0.4860064685344696,-0.954756498336792,4.0,4
71,-14.828143119812012,-4.0234551429748535,-0.02345530316233635,-5.2422051429748535,-15.242205619812012,5.0,3
72,-13.809142112731934,-14.418517112731934,-9.879454612731934,-1.3247672319412231,-0.30914220213890076,4.0,5
73,-14.869159698486328,-15.658222198486328,-11.197284698486328,-1.1582223176956177,-0.3769722878932953,4.0,5
74,-15.300859451293945,-15.964921951293945,-11.378984451293945,-1.5508593320846558,-0.23835933208465576,3.0,5
75,-16.407974243164062,-16.009536743164062,-9.478286743164062,-0.00953689869493246,-4.6657867431640625,4.0,4
76,-14.000081062316895,-12.773518562316895,-11.226643562316895,-8.11782301752828e-05,-9.843831062316895,4.0,4
77,-16.43279457092285,-17.12810707092285,-11.635919570922852,-0.018732424825429916,-3.9874823093414307,5.0,4
78,-16.752532958984375,-17.213470458984375,-11.940033912658691,-0.018158741295337677,-4.018158912658691,4.0,4
79,-16.306156158447266,-12.212406158447266,-0.46240589022636414,-0.9936559200286865,-13.688968658447266,4.0,3
80,-17.093996047973633,-16.078371047973633,-8.343996047973633,-0.00024589852546341717,-12.109621047973633,3.0,4
81,-16.586519241333008,-16.555269241333008,-10.078705787658691,-0.0005808573332615197,-7.531830787658691,5.0,4
82,-15.548311233520508,-6.860811233520508,-0.0014360364293679595,-7.860811233520508,-15.438936233520508,3.0,3
83,-15.798799514770508,-15.634737014770508,-8.962862014770508,-0.009737374261021614,-4.650362491607666,4.0,4
