dataset,n,pearson,cov_raw,width_raw,cov_adj,width_adj
AesBench,392,0.3533,0.8862,1.9752,0.9821,2.6332
ChartQA,400,0.2611,0.8855,3.5208,0.9655,3.8205
Concept Caption,398,0.2731,0.8874,2.6975,0.9864,3.5106
ScienceQA,396,0.3035,0.8833,3.2451,0.9535,3.6106
VisitBench,397,0.3387,0.8623,2.9001,0.9719,3.4432
WIT,399,0.3998,0.8995,2.4842,0.984,3.2335
coco,397,0.2742,0.8704,2.5119,0.9729,3.0794
diffusiondb,299,0.2846,0.894,3.2147,0.984,3.8073
infographicsVQA,398,0.162,0.8754,3.5841,0.9638,3.8372
llava_bench,396,0.1384,0.8773,3.0676,0.9833,3.7298
mathvista,790,0.3392,0.8818,3.4172,0.9881,3.7534
mind2web,398,0.2244,0.893,2.7438,0.9794,3.2995
mm-vet,258,0.2961,0.8473,2.3849,0.9256,2.9101
textVQA,399,0.2134,0.876,3.0997,0.9535,3.5155
