sample_id,s2_lp1,s2_lp2,s2_lp3,s2_lp4,s2_lp5,gt_score,parsed_score,gt_score_continuous
0,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,3,-1,0.5833333333333334
1,-10.717317581176758,-9.631380081176758,-4.8032546043396,-0.037629686295986176,-3.5532546043395996,1,4,0.0
2,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,1,-1,0.0
3,-12.519715309143066,-11.972840309143066,-7.847840785980225,-0.019715769216418266,-3.9572157859802246,3,4,0.6071428571428571
4,-10.787792205810547,-8.178417205810547,-1.7565425634384155,-0.19404253363609314,-5.678417682647705,5,4,0.875
5,-6.947263717651367,-7.916013717651367,-4.009763717651367,-2.119138479232788,-0.15038858354091644,5,5,0.8928571428571429
6,-12.351593017578125,-15.281280517578125,-12.445343017578125,-10.906280517578125,-3.0517112463712692e-05,5,5,0.95
7,-10.620706558227539,-10.503519058227539,-7.316019535064697,-1.8316444158554077,-0.1753944456577301,4,5,0.78125
8,-8.100140571594238,-9.100140571594238,-6.725140571594238,-5.350140571594238,-0.006390375085175037,1,5,0.0
9,-1.311301275563892e-06,-16.390626907348633,-16.460939407348633,-18.125001907348633,-14.414063453674316,5,1,0.875
10,-5.714754581451416,-7.839754581451416,-3.230379343032837,-2.324129343032837,-0.15225444734096527,4,5,0.75
11,-13.627251625061035,-12.931939125061035,-7.971002101898193,-0.0022520674392580986,-6.267877101898193,4,4,0.6666666666666666
12,-4.495772838592529,-0.01139784324914217,-8.667648315429688,-13.144210815429688,-15.269210815429688,2,2,0.1875
13,-10.9518461227417,-6.686221122741699,-0.07684605568647385,-2.623721122741699,-8.7330961227417,3,3,0.5714285714285714
14,-10.47900676727295,-9.01806926727295,-3.5024447441101074,-0.03369464352726936,-5.861819744110107,4,4,0.6666666666666666
15,-11.276900291442871,-9.276900291442871,-2.94096302986145,-0.06596303731203079,-4.519088268280029,5,4,0.9166666666666666
16,-12.732342720031738,-11.982342720031738,-7.138592720031738,-0.029217638075351715,-3.5760927200317383,5,4,0.9166666666666666
17,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,1,-1,0.0
18,-10.700255393981934,-7.754942893981934,-2.0049426555633545,-0.14556773006916046,-7.989317893981934,1,4,0.0
19,-8.417618751525879,-8.651993751525879,-5.948868751525879,-3.745743751525879,-0.0269936453551054,3,5,0.59375
20,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,2,-1,0.25
21,-11.01736831665039,-9.61893081665039,-3.7908055782318115,-0.040805477648973465,-4.056430339813232,1,4,0.0
22,-10.127650260925293,-8.244837760925293,-2.744838237762451,-0.07296311855316162,-5.151088237762451,2,4,0.35
23,-11.209894180297852,-7.069269180297852,-0.10051938146352768,-2.3661444187164307,-6.991144180297852,5,3,0.90625
24,-11.53193473815918,-10.71162223815918,-7.32880973815918,-0.14130961894989014,-2.0319347381591797,5,4,0.875
25,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,4,-1,0.75
26,-9.273486137390137,-9.476611137390137,-4.062549114227295,-0.9531739950180054,-0.5156739950180054,3,5,0.5
27,-13.726570129394531,-15.343757629394531,-13.085945129394531,-12.765632629394531,-7.748573807475623e-06,2,5,0.35
28,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,5,-1,0.875
29,-10.706701278686523,-7.417639255523682,-0.058264244347810745,-2.8863892555236816,-8.558263778686523,5,3,0.8928571428571429
30,-13.07032585144043,-14.92970085144043,-13.27345085144043,-11.92188835144043,-1.3470558769768104e-05,5,5,0.95
31,-10.914536476135254,-9.297348976135254,-2.594224452972412,-0.07859941571950912,-7.172349452972412,1,4,0.0
32,-9.144765853881836,-7.746327877044678,-2.6838278770446777,-0.09007798880338669,-4.058827877044678,5,4,1.0
33,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,4,-1,0.78125
34,-5.333068370819092,-0.004943292122334242,-9.223692893981934,-13.739317893981934,-15.848692893981934,3,2,0.4375
35,-9.304557800292969,-0.023307407274842262,-3.8045573234558105,-7.3045573234558105,-13.179557800292969,4,2,0.65
36,-11.467315673828125,-6.553252696990967,-0.006377819459885359,-5.318877696990967,-10.842315673828125,4,3,0.6458333333333334
37,-13.124443054199219,-12.468193054199219,-8.054130554199219,-0.007255869451910257,-4.976006031036377,1,4,0.0
38,-6.5425615310668945,-7.2222490310668945,-1.9800615310668945,-1.4644365310668945,-0.46443653106689453,1,5,0.0
39,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,3,-1,0.625
40,-10.857110023498535,-9.021172523498535,-3.622734546661377,-0.02898455411195755,-6.372734546661377,4,4,0.8125
41,-16.054723739624023,-11.421911239624023,-3.611976353568025e-05,-10.625036239624023,-15.335973739624023,5,3,0.9285714285714286
42,-13.43290901184082,-13.03447151184082,-8.92509651184082,-0.0032214433886110783,-5.78447151184082,5,4,0.875
43,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,3,-1,0.6
44,-11.614212036132812,-11.145462036132812,-7.6767120361328125,-0.06733711808919907,-2.7392120361328125,2,4,0.1666666666666666
45,-9.69028091430664,-0.8543437719345093,-0.5574687719345093,-6.369968891143799,-14.04184341430664,3,3,0.6071428571428571
46,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,4,-1,0.75
47,-8.461520195007324,-8.883395195007324,-6.805270671844482,-4.977145671844482,-0.008395615965127945,5,5,0.875
48,-8.936017990112305,-9.061017990112305,-5.857893466949463,-2.311018228530884,-0.10789332538843155,3,5,0.46875
49,-16.586767196655273,-10.688329696655273,-0.0008294717408716679,-7.125829696655273,-14.719579696655273,4,3,0.75
50,-10.568878173828125,-8.975128173828125,-2.928253173828125,-0.06887823343276978,-4.350128173828125,1,4,0.0
51,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,2,-1,0.2142857142857142
52,-12.54688549041748,-15.77344799041748,-13.10157299041748,-13.22657299041748,-1.0251946150674485e-05,3,5,0.55
53,-11.610383987426758,-7.211946487426758,-0.05569658800959587,-2.930696487426758,-9.672883987426758,3,3,0.5
54,-12.94253158569336,-11.85659408569336,-6.520657062530518,-0.0050318981520831585,-5.645657062530518,3,4,0.5833333333333334
55,-12.131704330444336,-11.186391830444336,-6.662954330444336,-0.00670409994199872,-5.225454330444336,5,4,0.875
56,-12.242215156555176,-10.437527656555176,-3.312527894973755,-0.04690278694033623,-4.671902656555176,2,4,0.2083333333333333
57,-15.945331573486328,-15.218769073486328,-10.953144073486328,-1.9550132492440753e-05,-13.351581573486328,1,4,0.0
58,-0.03143034502863884,-3.484555244445801,-8.2658052444458,-11.5470552444458,-12.4533052444458,2,1,0.3214285714285714
59,-18.304691314697266,-13.859378814697266,-3.814689989667386e-06,-14.835941314697266,-17.265628814697266,4,3,0.75
60,-7.478872776031494,-8.510123252868652,-6.291372776031494,-4.900747776031494,-0.010122864507138729,1,5,0.0
61,-12.6289701461792,-9.0430326461792,-0.05865778401494026,-2.8711578845977783,-8.4649076461792,1,3,0.0
62,-13.376628875732422,-12.157878875732422,-6.970378398895264,-0.0016285026213154197,-7.298503398895264,1,4,0.0
63,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,4,-1,0.65
64,-13.69832706451416,-13.05770206451416,-8.50301456451416,-0.003015021560713649,-5.878015041351318,5,4,0.875
65,-0.005910774692893028,-5.146535873413086,-9.693410873413086,-12.240285873413086,-12.466848373413086,2,1,0.25
66,-9.113483428955078,-7.38692045211792,-1.94942045211792,-0.16817045211791992,-4.44942045211792,1,4,0.0
67,-5.960938453674316,-6.148438453674316,-1.9296884536743164,-0.9453134536743164,-0.7734384536743164,1,5,0.0
68,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,4,-1,0.65
69,-11.681583404541016,-9.423770904541016,-2.6581456661224365,-0.08002062886953354,-5.001895427703857,5,4,0.875
70,-11.967877388000488,-11.374127388000488,-7.9600653648376465,-0.022565146908164024,-3.8194401264190674,4,4,0.75
71,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,1,-1,0.0
72,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,1,-1,0.0
73,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,1,-1,0.0
74,-16.63309097290039,-15.570590019226074,-8.203402519226074,-0.0002779574424494058,-12.828402519226074,5,4,0.8928571428571429
75,-12.145248413085938,-11.262435913085938,-6.3483734130859375,-0.0046235560439527035,-5.8639984130859375,5,4,0.875
76,-13.61870002746582,-10.47026252746582,-0.0015128131490200758,-6.5171380043029785,-12.60307502746582,1,3,0.0
77,-10.031044960021973,-2.5935451984405518,-0.07792014628648758,-8.765419960021973,-12.999794960021973,2,3,0.25
78,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,1,-1,0.0
79,-8.740589141845703,-8.771839141845703,-5.881214141845703,-3.990589141845703,-0.021839246153831482,4,5,0.8
80,-12.09394645690918,-7.24238395690918,-0.02363414876163006,-3.789259195327759,-10.91425895690918,2,3,0.3333333333333333
81,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,1,-1,0.0
82,-7.525681018829346,-8.103805541992188,-3.7131810188293457,-2.1663060188293457,-0.15068095922470093,3,5,0.5357142857142857
83,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,1,-1,0.0
84,-7.1759843826293945,-8.332234382629395,-4.9728593826293945,-3.1759841442108154,-0.050984226167201996,3,5,0.5625
85,-10.56525707244873,-12.27619457244873,-9.36213207244873,-5.940257549285889,-0.002757439622655511,4,5,0.75
86,-11.976593017578125,-14.265655517578125,-12.101593017578125,-11.171905517578125,-3.0636318115284666e-05,1,5,0.0
87,-12.770891189575195,-12.044328689575195,-6.458391189575195,-0.020891377702355385,-3.9583914279937744,1,4,0.0
88,-8.442445755004883,-6.598695278167725,-1.7705703973770142,-0.19244538247585297,-5.739320278167725,2,4,0.25
89,-15.104870796203613,-11.331433296203613,-0.1673712283372879,-1.8704962730407715,-9.878308296203613,4,3,0.65
90,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,1,-1,0.0
91,-0.014740603044629097,-4.233490467071533,-9.030365943908691,-12.022553443908691,-13.155365943908691,1,1,0.0
92,-6.049652576446533,-0.0027777680661529303,-7.815277576446533,-11.627778053283691,-14.159028053283691,2,2,0.3214285714285714
93,-6.848243713378906,-10.496681213378906,-6.504493713378906,-6.301368713378906,-0.004493496846407652,3,5,0.375
94,-11.265793800354004,-13.453293800354004,-10.547043800354004,-8.984543800354004,-0.0001691436773398891,4,5,0.71875
95,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,5,-1,0.875
96,-11.99517822265625,-11.04205322265625,-7.159241199493408,-0.8623660802841187,-0.5498660802841187,1,5,0.0
97,-13.010207176208496,-11.072707176208496,-6.096144199371338,-0.002394429873675108,-9.049269676208496,1,4,0.0
98,-7.018102169036865,-8.299352645874023,-4.236852169036865,-2.7837274074554443,-0.08060235530138016,5,5,0.875
99,-6.141765117645264,-7.407390117645264,-3.8761401176452637,-2.2198901176452637,-0.14176501333713531,1,5,0.0
100,-12.070414543151855,-13.859477043151855,-11.507914543151855,-9.562602043151855,-0.00010227633902104571,3,5,0.625
101,-1.0728830375228426e-06,-16.437501907348633,-16.468751907348633,-17.406251907348633,-15.093750953674316,1,1,0.0
102,-14.242293357849121,-13.445418357849121,-9.687605857849121,-0.0001062098381225951,-10.140730857849121,1,4,0.0
103,-13.664071083068848,-15.453133583068848,-12.460946083068848,-12.945321083068848,-8.821448318485636e-06,4,5,0.8571428571428571
104,-12.49067497253418,-9.61567497253418,-2.5219249725341797,-0.08442490547895432,-7.45942497253418,4,4,0.8
105,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,4,-1,0.71875
106,-8.236024856567383,-8.017274856567383,-3.579775094985962,-1.376650094985962,-0.3297750651836395,3,5,0.625
107,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,3,-1,0.5
108,-14.429698944091797,-15.289073944091797,-12.984386444091797,-11.765636444091797,-1.168244216387393e-05,1,5,0.0
109,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,4,-1,0.75
110,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,3,-1,0.5625
111,-13.072087287902832,-11.462712287902832,-5.79083776473999,-0.009587552398443222,-5.04083776473999,3,4,0.53125
112,-12.334197998046875,-9.560760498046875,-1.857635498046875,-0.1701354831457138,-8.029510498046875,2,4,0.1666666666666666
113,-11.25790786743164,-10.48447036743164,-5.554782867431641,-0.03915797546505928,-3.3672828674316406,5,4,0.9285714285714286
114,-9.624735832214355,-7.476297855377197,-2.4450480937957764,-0.11692298203706741,-3.7731730937957764,1,4,0.0
115,-10.134482383728027,-5.665732383728027,-0.02510746754705906,-3.8532323837280273,-9.501669883728027,3,3,0.625
116,-9.586509704589844,-9.164634704589844,-5.352135181427002,-0.11776014417409897,-2.242760181427002,3,4,0.59375
117,-18.9453125,-14.984375953674316,-7.152555099310121e-07,-14.937500953674316,-19.9140625,3,3,0.5
118,-10.511641502380371,-7.074141502380371,-0.011641662567853928,-4.542891502380371,-9.847579002380371,5,3,0.9
119,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,2,-1,0.2083333333333333
120,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,4,-1,0.75
121,-8.440333366394043,-9.440333366394043,-7.643458366394043,-6.190333366394043,-0.0028335205279290676,3,5,0.5714285714285714
122,-6.709371566772461,-6.803121566772461,-4.037496566772461,-1.94374680519104,-0.17812179028987885,3,5,0.40625
123,-11.544462203979492,-11.833524703979492,-7.067899703979492,-3.349149703979492,-0.03664978966116905,4,5,0.65
124,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,4,-1,0.7142857142857143
125,-12.449493408203125,-10.277618408203125,-4.222930908203125,-0.019805997610092163,-5.316680908203125,2,4,0.2916666666666667
126,-14.12500286102295,-14.27344036102295,-3.2186455882765586e-06,-14.55469036102295,-15.80469036102295,3,3,0.5833333333333334
127,-10.747798919677734,-8.083736419677734,-1.1696741580963135,-0.37279921770095825,-7.857174396514893,3,4,0.5833333333333334
128,-0.004984571132808924,-18.48154640197754,-17.00498390197754,-17.27842140197754,-17.79795265197754,3,1,0.625
129,-0.3687838912010193,-1.181283950805664,-6.525033950805664,-9.759408950805664,-11.478158950805664,1,1,0.0
130,-15.406927108764648,-13.492864608764648,-8.719427108764648,-0.0006768796010874212,-7.578802108764648,1,4,0.0
131,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,2,-1,0.2916666666666667
132,-12.978719711303711,-11.213094711303711,-5.963094711303711,-0.009969559498131275,-4.916219711303711,5,4,0.875
133,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,1,-1,0.0
134,-0.005869059823453426,-5.146493911743164,-10.505868911743164,-13.287118911743164,-13.826181411743164,2,1,0.25
135,-14.210952758789062,-16.179702758789062,-13.281265258789062,-11.453140258789062,-1.490105023549404e-05,5,5,0.9
136,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,4,-1,0.7142857142857143
137,-11.85635757446289,-9.52042007446289,-2.3797945976257324,-0.098544642329216,-6.739169597625732,3,4,0.6071428571428571
138,-10.599493026733398,-9.146368026733398,-2.6385555267333984,-0.07605545222759247,-6.419805526733398,4,4,0.75
139,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,3,-1,0.6071428571428571
140,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,4,-1,0.84375
141,-7.254477500915527,-8.012290000915527,-3.9419775009155273,-1.957602620124817,-0.1763525903224945,5,5,0.875
142,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,5,-1,0.9166666666666666
143,-5.7228288650512695,-0.004078761208802462,-7.1447038650512695,-11.81657886505127,-14.72282886505127,3,2,0.5714285714285714
144,-10.45708179473877,-11.05083179473877,-7.863331317901611,-2.3789565563201904,-0.09770646691322327,4,5,0.7
145,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,4,-1,0.7916666666666666
146,-4.341283321380615,-5.700658321380615,-2.1381583213806152,-1.3569084405899048,-0.4975334405899048,5,5,0.9
147,-12.84284496307373,-12.18659496307373,-8.16315746307373,-0.006907748989760876,-5.022532939910889,1,4,0.0
148,-8.922581672668457,-9.133519172668457,-5.352269172668457,-2.383519172668457,-0.10226920992136002,4,5,0.6875
149,-7.906294822692871,-7.468794822692871,-1.710982084274292,-1.117232084274292,-0.710982084274292,3,5,0.625
150,-17.125,-17.2421875,-15.609375953674316,-14.546875953674316,-9.536738616588991e-07,5,5,0.9285714285714286
151,-17.773441314697266,-14.414067268371582,-4.6491513785440475e-06,-12.632817268371582,-16.718753814697266,5,3,0.875
152,-9.694204330444336,-9.139516830444336,-3.912954330444336,-0.3973292112350464,-1.1785792112350464,4,4,0.6875
153,-14.375472068786621,-14.031722068786621,-10.914534568786621,-0.00047183825518004596,-7.703597068786621,4,4,0.75
154,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,2,-1,0.1785714285714285
155,-10.786050796508789,-9.137613296508789,-3.16886305809021,-0.04386317357420921,-7.231363296508789,2,4,0.2857142857142857
156,-7.716279983520508,-8.692842483520508,-4.005342483520508,-1.520967721939087,-0.2709676921367645,5,5,0.9
157,-13.121420860290527,-11.363608360290527,-5.629232883453369,-0.004233090206980705,-7.394857883453369,4,4,0.75
158,-6.251974582672119,-0.001974420389160514,-10.033224105834961,-14.306661605834961,-16.32228660583496,3,2,0.5
159,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,1,-1,0.0
160,-13.086893081665039,-11.696268081665039,-0.0009551253751851618,-6.969705104827881,-12.813455581665039,5,3,0.9285714285714286
161,-13.610128402709961,-13.891378402709961,-7.938253402709961,-0.03200327977538109,-3.469503164291382,3,4,0.5416666666666666
162,-7.205362319946289,-0.0022374375257641077,-6.517862319946289,-11.291299819946289,-14.135049819946289,2,2,0.3333333333333333
163,-12.914073944091797,-15.312511444091797,-13.882823944091797,-12.242198944091797,-1.156323378381785e-05,4,5,0.7916666666666666
164,-12.651280403137207,-12.174717903137207,-7.776280403137207,-0.010655414313077927,-4.588780403137207,4,4,0.8214285714285714
165,-7.8974432945251465,-0.03806815296411514,-3.3036930561065674,-8.397442817687988,-12.749005317687988,3,2,0.4375
166,-18.218751907348633,-17.203126907348633,-13.875001907348633,-1.5497195136049413e-06,-14.898439407348633,4,4,0.84375
167,-12.664102554321289,-13.968790054321289,-12.125040054321289,-10.406290054321289,-4.017272294731811e-05,5,5,0.9166666666666666
